empresa,estado_matriz,municipio_matriz,telefono,extension,uuid
HOLTMONT SERVICES,,,,,3p0e0
GUPO MARTINEZ,,,,,1w2z4
TENACITY,,,,,9f0f2
TAEHWA MEXICO,,,,,6a9x0
CHEONG WOON,,,,,0t1u7
NIPPON SERKI DE MEXICO,,,,,8y5c6
BART ACUITY BRANT,,,,,1h6n5
BART SMUIFIT KAPPA,,,,,8f8k6
RENTAL DEPOT,,,,,8i2a5
GENTE EN LINIA,,,,,6s6x9
GRUPO LOZCAR,,,,,9q6h4
PLASKOLITE,,,,,8i1k2
TIENDAS SORIANA,,,,,0c2m0
MONDELEZ,,,,,1d8w4
SORIANA MERCADO JUAREZ,,,,,0z8m5
PEPSI,,,,,3n9u3
OBEN GROUP,,,,,1m0w2
NORTH POLE STAR,,,,,3q9p1
MITSUBA,,,,,2s7g0
CLEBER,,,,,3s0t5
PAYMENT SERVICES,,,,,8n8i2
GRUPO ASES,,,,,9l6w2
DONGIJN TECMAAN,,,,,4j2a1
HAENG SUNG,,,,,3s7j8
SVA,,,,,1k1j6
MERCADO LIVRE,,,,,5a9l3
EVI SOLUTION,,,,,5o8d8
SIGMA ALIMENTOS,,,,,7e2i7
HUMAN RESOVICE,,,,,0i6q6
RANDSTAD,,,,,7y7l1
TRUXTON,,,,,8k4a9
PAPEL Y EMPAQUE,,,,,8n9b5
LGMG,,,,,8d2w6
ONEAL STEEL DE MEX,,,,,3q9d5
SOLUCIONES EN REC,,,,,5s7s8
BYDSA,,,,,6x4j0
TENACITY CAP HUM,,,,,0a3o2
SENDA,,,,,5d4a2
MEGA,,,,,2b1e4
GRAFTECH,,,,,4y5x2
SKY,,,,,9b7u9
DHL,,,,,5i1g3
TPA EVENTOS,,,,,2c0d0
PRODIESA ESPEJOS,,,,,7p0b8
METALSA,,,,,1l1g9
NIPPON SEIKI,,,,,3v0h7
JEA,,,,,9m6i0
KLEIN TODS,,,,,6h1f5
GRUPO SENDA,,,,,6x3n5
CONSORCIO IND CADE,,,,,6z8z9
NISSAN,,,,,3d8p5
TAMALES NORA,,,,,8k1c6
GRUPO CUPRUM,,,,,6o4h5
PLASTIC INGENUITY,,,,,6w7m0
ADECCO,,,,,4d6z7
MAN POWER,,,,,9f9i7
MEDESA,,,,,8p0d4
DITRIBUDORA SUMERCA,,,,,1d6v5
KOLER,,,,,3g1y5
AUTO ZONE CEDIS,,,,,1n3r4
D GAMEZ,,,,,8k4f7
CAPA EMERSON,,,,,2r0e4
CAPA AUTOTAH,,,,,8i2k1
CORPORACION TG,,,,,3s2x8
ACTIVE CLEAN,,,,,6n2y1
WHIRPOOL,,,,,8n3e7
PROLIN,,,,,1p4b4
IQEST,,,,,1b3k0
SUNGWOO HITECH,,,,,6x6n7
FOXCEL TELCEL,,,,,9i9y5
ABB,,,,,8q2r2
VASSTER,,,,,0e3y2
KONECT,,,,,4l6t5
YASAKI CAVLES 2,,,,,0u0n2
LIVERPOOL CEDIS,,,,,0r0x4
DESARROLLO LOCSA,,,,,7l4n6
PCM,,,,,6t4i9
PROLAMSA,,,,,3m6t8
ELECTRICA AUTOMOTIZ OMEGA,,,,,3i5l0
PERZA PCM,,,,,0w9l4
PERZA SEMEX,,,,,6h9e6
PERAZ ILPEA,,,,,3g2i7
PERAZ JOYSON,,,,,3a6v7
GARZA PONCE,,,,,0a7y4
GRUPO PRODENSA,,,,,1x4y1
APTIV,,,,,3e7h8
VELADORAS LUZ DE FE,,,,,4b7w4
TRASPORTES ESPECIALIZADOZ,,,,,0v2f9
GUNTHNER DE MEXICO,,,,,8y8a7
SORIANA RODRIGUEZ,,,,,6s8c8
SERV PROF CRUZ,,,,,8d0k5
HEB TEC,,,,,8e9t3
PANASONIC,,,,,0k9v8
LAERDAL MEDICAL,,,,,1h3l1
JABIL MONTERREY,,,,,5p7z5
BODEGA AURRERA EXPRESS SUR,,,,,4z8y3
MNA DE MEXICO,,,,,5g2i4
RECLUTA MEXICO KOLER,,,,,1z1x9
RECLUTA MEXICO MAGNA,,,,,8l9y7
RECLUTA MEXICO ALP LIGHTING,,,,,5n4w1
OMEGA,,,,,4x9x2
VIDUSA,,,,,1b0l9
ABTUBE,,,,,9r5k6
GRUPO ALYBER,,,,,7x6b4
INSERT,,,,,6k7s5
MANPOWER GREEN PAPER,,,,,8f8z1
MANPOWER CARGILL,,,,,1m6l8
MANPOWER EVERTIS,,,,,9i8n7
LIBERTY LOGISTICA,,,,,1z2u5
TECMA KG,,,,,9m7w3
DAR COMMPANY POLARIS,,,,,1t8o0
DAR COMPANY SCHNEIDER,,,,,0u2x4
DAR COMPANY RAGASA,,,,,8l3w3
BIG COLA ALEMEX,,,,,1x2d5
TOPPERWARE,,,,,5s4f3
SUMERCA CEDIS,,,,,4a9j7
AMERIFAB CIOSA,,,,,4e5y0
TAMALES SALINAS,,,,,5k3a4
BERLIX,,,,,3l5w0
KOHLER SANIMEX,,,,,3m1e2
CARNES UNO,,,,,0j0t7
HYUNDAI WIA,,,,,8z9m1
MERCO,,,,,1d3j1
PCM PAPELERA,,,,,8l1v5
SAM´S,,,,,4w2i5
GP VIVIENDA,,,,,7v5g2
OXXO,,,,,4h4i8
SHOWER,,,,,1o2b4
FARID,,,,,2x5y3
AAMSA,,,,,4g1o1
SU CABRITO,,,,,0j1a8
SIDOR,,,,,8p9e2
MOBIL ORSAN,,,,,5i1c2
RAC,,,,,9g0z5
CANTUTTI SEGURIDAD,,,,,7z0v8
ONEAL STEEL,,,,,9u2u0
PASA,,,,,0h9o7
PERZA,,,,,8h5k4
JOYSON SAFETY,,,,,0t6b8
RECLUTA MEXICO,,,,,4h6x2
MR. ASOCIADOS,,,,,3o5n1
WTS Co. SA de CV.,,,,,7x0g5
COMECIAL TREVIÑO,,,,,6t2y4
YOUNGSHIN INDUSTRY,,,,,0m7u6
DOÑA TOTA,,,,,4d5n7
OPTICA FRANKLIN,,,,,9d5e0
BOXES,,,,,0w6y9
